# Clauses,# Literals,Time (ms),Input size
1,1,0.043500005,3
2,1,0.004500005,1.12
4,1,0.005500001,0.88
8,1,0.005499995,0
16,1,0.007499999,0
32,1,0.015999994,0
64,1,0.034499989,0
128,1,0.176000001,0
256,1,0.164000015,0
512,1,0.174500002,0
1024,1,0.238499994,0
2048,1,0.187500002,0
4096,1,0.353999989,0
8192,1,0.420500006,0
1,2,0.043999997,10.88
2,2,0.012000004,19.4
4,2,0.039999996,41.17
8,2,0.038999994,62.1
16,2,0.037999998,117
32,2,0.064000004,252.96
64,2,0.052499992,395.64
128,2,0.097500003,727.11
256,2,0.076500006,1581.9
512,2,0.274999993,3334.72
1024,2,0.162500003,4946.4
2048,2,0.288499991,12333.3
4096,2,0.501499989,20512
8192,2,0.695000001,49202.4
1,4,0.007499999,41.42
2,4,0.003999996,69.2
4,4,0.004000007,98.8
8,4,0.028500002,184.4
16,4,0.032000011,259.92
32,4,0.056000013,512.62
64,4,0.074499997,1014.72
128,4,0.168000004,1672.71
256,4,0.206499995,1770.66
512,4,0.136499992,4883.97
1024,4,0.195500004,6855.96
2048,4,0.283999997,15363.36
4096,4,0.487999991,31010.44
8192,4,0.954000006,59569.56
1,8,0.002000004,147.44
2,8,0.002500002,224.8
4,8,0.003500003,289.14
8,8,0.004999997,478.4
16,8,0.021000003,816
32,8,0.014000002,1486.4
64,8,0.037500006,2702.59
128,8,0.070000003,5271.67
256,8,0.146999996,10457.1
512,8,0.232500001,18383.64
1024,8,0.301499997,36546.19
2048,8,0.460499991,59237.19
4096,8,0.923999993,133222.94
8192,8,1.641000004,183844.71
1,16,0.003000005,515.28
2,16,0.003000005,684.8
4,16,0.004499994,782.4
8,16,0.004000007,1139.2
16,16,0.005999993,1835.2
32,16,0.014000002,3488
64,16,0.020499987,5702.4
128,16,0.037499989,11790.4
256,16,0.069499994,22304
512,16,0.137499999,45118.4
1024,16,0.274000003,87284.8
2048,16,0.591000007,174081.6
4096,16,1.2345,350145.6
8192,16,2.583,692063.4
1,32,0.003499992,2170.92
2,32,0.003499998,2347.84
4,32,0.005000009,2774.4
8,32,0.005999987,3459.2
16,32,0.009999995,4851.2
32,32,0.018000003,7702.4
64,32,0.031500007,13104
128,32,0.057000003,24499.2
256,32,0.111499999,47251.2
512,32,0.266499998,90198.4
1024,32,0.484000001,176684.8
2048,32,0.9785,355920
4096,32,2.029000013,709472
8192,32,4.347999999,1429107.2
1,64,0.008000003,8385.99
