# Clauses,# Literals,Time (ms)
1,1,0.043500002
2,1,0.007499999
4,1,0.0065
8,1,0.006000005
16,1,0.006000005
32,1,0.015500002
64,1,0.036999997
128,1,0.158999997
256,1,0.189999997
512,1,0.227499989
1024,1,0.276999996
2048,1,0.227
4096,1,0.378999999
8192,1,0.380000001
1,2,0.056499999
2,2,0.031499995
4,2,0.0225
8,2,0.052999996
16,2,0.050499997
32,2,0.057499998
64,2,0.062999999
128,2,0.122500004
256,2,0.103999997
512,2,0.3215
1024,2,0.174499993
2048,2,0.288499997
4096,2,0.536499993
8192,2,0.781500008
1,4,0.018000003
2,4,0.010999996
4,4,0.013499998
8,4,0.029500001
16,4,0.039000003
32,4,0.052500001
64,4,0.072499996
128,4,0.097000002
256,4,0.234999994
512,4,0.153999997
1024,4,0.213000001
2048,4,0.3245
4096,4,0.620500001
8192,4,1.227000001
1,8,0.001499997
2,8,0.003500003
4,8,0.002500002
8,8,0.004500002
16,8,0.021
32,8,0.018999999
64,8,0.023000003
128,8,0.031000003
256,8,0.089999998
512,8,0.137000001
1024,8,0.253
2048,8,0.522000002
4096,8,0.904999994
8192,8,1.895000003
1,16,0.002499999
2,16,0.004000001
4,16,0.007999997
8,16,0.005499998
16,16,0.007500013
32,16,0.0145
64,16,0.022500003
128,16,0.041999997
256,16,0.083500007
512,16,0.177000003
1024,16,0.320999997
2048,16,0.645499997
4096,16,1.341000001
8192,16,3.0455
1,32,0.004000001
2,32,0.004499999
4,32,0.005
8,32,0.006999998
16,32,0.011000008
32,32,0.021500001
64,32,0.030500002
128,32,0.057500004
256,32,0.111500002
512,32,0.224000006
1024,32,0.494500002
2048,32,1.033999998
4096,32,2.132999999
8192,32,4.28
1,64,0.008499998
2,64,0.012999994
4,64,0.055999999
8,64,0.018
16,64,0.019999998
32,64,0.0325
64,64,0.057999999
128,64,0.108000005
256,64,0.195999999
512,64,0.421499999
1024,64,0.8745
2048,64,1.831000004
4096,64,3.735
8192,64,6.369000001
1,128,0.011499994
2,128,0.014500006
4,128,0.017499996
8,128,0.035000005
16,128,0.050999998
32,128,0.063500003
64,128,0.088500002
128,128,0.2125
256,128,0.337000005
512,128,0.68249999
1024,128,1.447500003
2048,128,2.604999999
4096,128,5.173500004
8192,128,10.416
1,256,0.027500003
2,256,0.078
4,256,0.033500002
8,256,0.048000002
16,256,0.067000004
32,256,0.103499999
64,256,0.205000001
128,256,0.370500004
256,256,0.622499999
512,256,1.204499995
1024,256,2.463500001
2048,256,4.732500005
4096,256,9.856499999
8192,256,19.94400001
1,512,0.055500001
2,512,0.103999994
4,512,0.072500005
8,512,0.086499998
16,512,0.126000005
32,512,0.214499998
64,512,0.356999997
128,512,0.593500002
256,512,1.196500001
512,512,2.400500001
1024,512,4.620499999
2048,512,9.110500003
4096,512,18.131
8192,512,36.683
1,1024,0.1365
2,1024,0.1735
4,1024,0.149999998
8,1024,0.181500003
16,1024,0.264000002
32,1024,0.471499999
64,1024,0.660000002
128,1024,1.267999993
256,1024,2.461499997
512,1024,4.960999999
1024,1024,8.962499999
2048,1024,18.016
4096,1024,35.8255
8192,1024,70.213
1,2048,0.361500002
2,2048,0.327500002
4,2048,0.424500002
8,2048,0.399
16,2048,0.565000006
32,2048,0.816999996
64,2048,1.467999999
128,2048,2.683499994
256,2048,4.727500002
512,2048,9.744999997
1024,2048,17.807
2048,2048,34.50350001
4096,2048,69.31
8192,2048,135.848
1,4096,0.730999996
2,4096,0.958000001
4,4096,1.054000005
8,4096,1.152000003
16,4096,1.433000001
32,4096,1.949500004
64,4096,3.000999996
128,4096,5.314999999
256,4096,9.627500002
512,4096,19.9
1024,4096,34.368
2048,4096,67.10000001
4096,4096,132.9915
8192,4096,268.979
1,8192,2.669999999
2,8192,2.215500001
4,8192,2.313499997
8,8192,2.580500001
16,8192,2.819499996
32,8192,4.563000004
64,8192,6.430500009
128,8192,10.9455
256,8192,20.893
512,8192,39.732
1024,8192,78.34650001
2048,8192,143.893
4096,8192,282.84
8192,8192,553.8275
